Name,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Personal Trainer: Cooking,81,12,7.8,10,3.11
The Elder Scrolls IV: Oblivion,93,45,8,604,3.1
The Legend of Zelda: A Link Between Worlds,91,81,8.9,1057,3.1
Resident Evil 6,74,34,5.4,1304,3.1
Mass Effect 2,96,98,8.9,3143,3.1
Dragon Ball Z: Budokai,67,28,7.9,71,3.09
Madden NFL 2002,94,23,7.9,46,3.08
The Sims: Vacation,75,18,7.8,22,3.07
LEGO Batman: The Videogame,74,17,7.9,22,3.06
Animal Crossing: Happy Home Designer,66,60,6.9,106,3.05
The Sims 4,70,74,3.9,2057,3.05
Borderlands 2,89,59,8.2,892,3.05
LEGO Batman: The Videogame,72,16,8,16,3.05
Kung Fu Panda,75,42,7.4,32,3.04
Mass Effect 3,93,74,5.8,3725,3.04
Heavy Rain,87,107,7.7,2759,3.03
Saints Row 2,81,75,8.1,307,3.03
Tom Clancy's Splinter Cell,93,46,8.5,121,3.02
FIFA 14,87,26,6.3,616,3.01
Killzone 2,91,94,8.1,1505,3.01
Far Cry 3,91,39,8.6,1247,3
Epic Mickey,73,78,7,131,3
NBA 2K13,88,41,7.2,131,3
Dragon Ball Z: Budokai Tenkaichi 3,73,24,9.2,173,3
The Sims: Livin Large,82,23,6.6,20,2.99
World Soccer Winning Eleven 6 International,93,24,9.1,65,2.99
Devil May Cry,94,37,8.5,466,2.99
Star Wars: The Old Republic,85,73,5.9,2748,2.96
Middle-Earth: Shadow of Mordor,84,85,8.1,1886,2.96
Sonic Heroes,64,29,7.8,94,2.96
Hitman 2: Silent Assassin,85,19,7.8,78,2.96
Titanfall,86,68,6.4,2658,2.95
Battlefield: Bad Company 2,88,59,8.5,572,2.95
SOCOM II: U.S. Navy SEALs,87,42,9,93,2.94
Pac-Man Collection,79,13,7.8,4,2.94
Street Fighter IV,93,77,7.3,292,2.94
inFAMOUS,85,98,8.3,1172,2.93
Kirby Super Star Ultra,76,40,8.8,76,2.92
Call of Duty: Ghosts,78,7,4.3,700,2.92
Mass Effect,91,74,8.7,1692,2.91
Sonic Mega Collection Plus,73,21,8.6,30,2.9
World Soccer Winning Eleven 7 International,93,28,9,45,2.9
Sega Superstars Tennis,67,45,6.8,18,2.89
Hot Shots Golf 3,85,30,8.9,16,2.89
Cooking Mama: Cook Off,61,37,5.3,23,2.89
Call of Duty: Finest Hour,76,49,7.7,69,2.89
WarioWare: Smooth Moves,83,61,7.4,179,2.89
Madden NFL 13,81,36,5.8,179,2.86
The Elder Scrolls III: Morrowind,87,34,8.7,111,2.86
Assassin's Creed IV: Black Flag,83,29,7.8,1530,2.85
Mortal Kombat,84,60,8.4,494,2.84
Madden NFL 10,85,58,6.1,90,2.83
BioShock,96,88,8.9,2249,2.83
Metroid Prime,97,70,9.3,747,2.82
Assassin's Creed: Brotherhood,90,59,8.2,791,2.82
Medal of Honor,75,56,7.5,286,2.81
inFAMOUS: Second Son,80,90,7.9,2944,2.79
NBA Street,89,22,8.6,39,2.79
Jak II,87,47,8.2,241,2.78
Need for Speed: Hot Pursuit,89,59,7.2,301,2.78
Skylanders: Spyro's Adventure,81,11,5.6,31,2.78
Battlefield 3,89,61,7.5,4926,2.78
Mortal Kombat X,83,81,7.7,836,2.78
The Sims,83,33,7.7,46,2.77
Killzone 3,84,85,7.9,942,2.77
Star Wars: The Force Unleashed,73,74,6.7,389,2.77
Yoshi's Island DS,81,42,7.4,67,2.76
Saints Row: The Third,84,70,7.6,490,2.76
Tekken 6,79,63,7.4,211,2.75
Sonic and the Secret Rings,69,44,6.6,174,2.73
The Legend of Zelda: A Link to the Past,95,30,9.1,314,2.7
Onimusha: Warlords,86,23,8.2,56,2.7
L.A. Noire,89,83,7.8,893,2.7
Call of Duty 3,82,71,6.5,233,2.7
Madden NFL 12,78,55,5.9,94,2.69
LEGO Star Wars II: The Original Trilogy,84,32,9,41,2.69
Killzone: Shadow Fall,73,88,6.8,2102,2.69
Madden NFL 11,84,47,5.7,120,2.69
Burnout 3: Takedown,93,52,9.1,271,2.68
Mario vs. Donkey Kong: Mini-Land Mayhem!,79,51,7.7,18,2.67
Professor Layton and the Last Specter,83,58,8.7,52,2.67
Call Of Duty 2: Big Red One,77,39,8.2,69,2.67
Medal of Honor,92,17,8.6,80,2.67
Fable,85,87,8.5,268,2.66
Guitar Hero: World Tour,85,67,6.3,171,2.66
FIFA 17,84,50,5.5,201,2.65
Tom Clancy's Splinter Cell,89,24,7.7,102,2.65
Need for Speed: Shift,84,55,6.9,113,2.65
Medal of Honor Heroes,71,24,7.9,47,2.65
Final Fantasy XIII-2,79,53,6.6,707,2.63
Midnight Club: Street Racing,78,18,7.8,21,2.63
Skate 3,80,65,8,127,2.63
ESPN NFL 2K5,90,37,8.2,84,2.62
Halo Wars,82,92,7.2,454,2.62
NBA 2K12,90,42,7.7,134,2.62
FIFA Soccer 10,90,63,7.5,133,2.62
Medal of Honor,74,71,6.7,288,2.61
Harry Potter and the Chamber of Secrets,71,16,7.6,49,2.61
God of War Collection,91,50,8.7,529,2.6
NBA Live 2005,84,21,8.1,44,2.59
Mario Strikers Charged,79,47,8,124,2.58
FIFA Soccer 09,87,42,7.5,108,2.58
Style Savvy,73,4,7.7,7,2.58
WWE SmackDown vs. RAW 2007,80,27,8.6,57,2.58
LEGO Star Wars: The Complete Saga,80,24,7.4,114,2.57
Madden NFL 08,78,11,7.8,17,2.57
Monster Hunter Freedom 2,72,38,8.7,83,2.57
Sonic Adventure 2 Battle,73,28,8.3,179,2.56
Madden NFL 13,83,22,5.5,101,2.56
Dragon Age: Origins,86,68,7.9,725,2.56
Pokémon Colosseum,73,37,8,89,2.54
LittleBigPlanet,87,68,7.8,98,2.54
Madden NFL 09,83,50,7,125,2.53
Crazy Taxi,80,15,7.9,46,2.52
Art Academy,75,15,8,5,2.52
NBA 2K14,87,23,4.9,150,2.52
Skylanders Giants,78,8,7,20,2.52
Deca Sports,50,23,5.4,16,2.5
Marvel: Ultimate Alliance,82,68,7.5,120,2.5
Mortal Kombat: Deadly Alliance,79,31,8.8,96,2.49
Game Party,25,8,4.3,26,2.48
Bloodborne,92,100,8.6,6383,2.48
Mario Party 4,70,26,7.4,74,2.47
Pure,85,55,7.7,83,2.47
Rock Band,92,72,8.2,178,2.47
NBA 2K13,90,26,8,99,2.47
Saints Row: The Third,82,50,7.7,384,2.47
Resistance 2,87,79,6.1,1889,2.46
NBA 2K15,83,50,7,291,2.45
Final Fantasy Tactics,83,12,8.2,190,2.45
Midnight Club: Los Angeles,82,50,8.2,100,2.45
The Sims: Bustin' Out,81,26,8.4,42,2.43
LEGO Harry Potter: Years 1-4,79,13,8,34,2.43
Call of Duty: Infinite Warfare,78,17,3.1,290,2.42
Madden NFL 16,84,23,6.1,124,2.42
Tom Clancy's Rainbow Six: Vegas 2,82,66,7.8,176,2.42
Need for Speed Carbon: Own the City,73,14,7.9,39,2.42
Dragon Ball Z: Budokai 2,66,28,8.2,92,2.41
pro evolution soccer 2011,77,40,6.8,85,2.41
ATV Offroad Fury,82,16,8.4,53,2.41
Need for Speed: ProStreet,62,11,6.2,34,2.41
Halo: Combat Evolved Anniversary,82,73,8.1,487,2.4
Guitar Hero,91,65,8.7,173,2.38
Madden NFL 11,83,36,6.1,68,2.38
Dead Island,71,75,6.9,627,2.37
Half-Life 2,96,81,9.1,8665,2.37
The Incredibles,62,36,7.6,22,2.37
Madden NFL 08,85,46,6.4,108,2.37
Tony Hawk's Underground 2,83,59,8.8,55,2.37
Zumba Fitness,42,10,5.5,16,2.37
Madden NFL 10,85,41,6.8,58,2.37
Midnight Club: Los Angeles,81,66,8.5,142,2.35
Kinect: Disneyland Adventures,73,33,2.9,67,2.35
WWE SmackDown vs Raw 2008,71,11,7.2,31,2.34
The Legend of Zelda: Majora's Mask 3D,89,82,9,478,2.34
LEGO Indiana Jones: The Original Adventures,78,22,6.6,28,2.34
Resident Evil - Code: Veronica X,84,21,8.4,189,2.34
NBA 2K16,86,14,6.2,115,2.34
Kinect Sports: Season Two,66,46,6.5,39,2.34
James Bond 007: Everything or Nothing,84,42,9.1,51,2.31
Need For Speed: High Stakes,86,14,8.5,28,2.31
Guild Wars 2,90,69,7.9,2954,2.31
Paper Mario: Sticker Star,75,69,5.6,382,2.3
Batman: Arkham Origins,76,46,7.7,668,2.29
LEGO Star Wars: The Complete Saga,80,18,6.7,87,2.29
Need for Speed Underground 2,77,35,8.7,27,2.28
Pro Evolution Soccer 2010,78,42,6.7,76,2.28
FIFA Soccer 09,82,8,6.9,20,2.28
LEGO Harry Potter: Years 1-4,72,7,7.2,6,2.28
The Sims 3,76,42,7.1,71,2.28
Pokemon Ranger: Shadows of Almia,68,24,8.2,27,2.28
Dead Island,71,41,6.6,405,2.27
Kirby: Nightmare in Dream Land,81,24,8.9,54,2.27
Wario Land 4,88,17,8.9,42,2.26
Sonic's Ultimate Genesis Collection,80,35,8.6,43,2.26
Far Cry: Primal,76,91,6.3,635,2.26
Battlefield 1,87,37,8.2,440,2.25
Onimusha 2: Samurai's Destiny,84,31,9,52,2.25
Paper Mario: The Thousand-Year Door,87,55,9.4,306,2.25
Madden NFL 12,79,31,5.5,56,2.25
God of War: Ascension,80,89,7.5,914,2.25
Guitar Hero III: Legends of Rock,83,45,7.8,52,2.24
Sonic Advance,87,22,8.1,48,2.24
Super Monkey Ball: Banana Blitz,74,53,5.7,72,2.24
Call of Duty 3,69,42,6.7,61,2.24
New Super Luigi U,77,59,7.9,288,2.24
Spyro: Season of Ice,74,16,8,13,2.23
Dissidia: Final Fantasy,79,61,8,139,2.23
Madden NFL 25,80,32,5.6,136,2.23
Borderlands 2,91,25,8.2,858,2.23
Prince of Persia: The Sands of Time,92,44,8.8,204,2.22
Monster Hunter Tri,84,70,8.6,219,2.22
LEGO Marvel Super Heroes,80,37,7.6,127,2.22
Tom Clancy's Rainbow Six: Siege,73,40,7.3,480,2.21
Star Wars: The Force Unleashed,71,47,6.6,233,2.21
Guitar Hero II,92,55,8.1,220,2.2
Forza Motorsport 5,79,76,5.9,1095,2.2
Rock Band 2,92,69,8.3,156,2.2
Need for Speed: Hot Pursuit,88,73,7,206,2.2
LEGO Indiana Jones: The Original Adventures,80,15,7.9,16,2.2
BioShock 2,88,93,8.2,573,2.2
Star Wars: Knights of the Old Republic,94,72,9.2,317,2.19
Madden NFL 15,81,37,6.1,208,2.19
Pro Evolution Soccer 2012,80,41,6.6,132,2.19
Saints Row,81,74,7.5,211,2.18
ATV Offroad Fury 2,82,26,8.9,28,2.18
FIFA 15,82,33,5.4,347,2.18
Tom Clancy's The Division,80,33,6.9,614,2.16
Final Fantasy XIII,82,54,6.3,539,2.16
The Sims: House Party,74,17,7.9,30,2.16
Scribblenauts,79,72,7.6,110,2.16
Sonic Unleashed,66,30,7.3,136,2.16
Pokemon Ranger,69,21,7.6,50,2.15
Overwatch,90,31,6.1,1358,2.14
